iter	f_val	grad_norm	x0	x1
212	0.08969960	0.34907351	0.70083618	0.48975499
213	0.08907071	0.34749659	0.70188606	0.49123411
214	0.08844756	0.34593317	0.70293114	0.49270630
215	0.08783007	0.34438128	0.70397114	0.49417187
216	0.08721817	0.34284360	0.70500556	0.49563123
217	0.08661180	0.34132222	0.70603390	0.49708481
218	0.08601089	0.33981433	0.70705582	0.49853295
219	0.08541537	0.33831382	0.70807123	0.49997576
220	0.08482517	0.33681681	0.70908030	0.50141321
221	0.08424024	0.33532486	0.71008345	0.50284508
222	0.08366051	0.33384285	0.71108115	0.50427110
223	0.08308592	0.33237446	0.71207383	0.50569105
224	0.08251641	0.33091990	0.71306175	0.50710482
225	0.08195193	0.32947750	0.71404498	0.50851243
226	0.08139241	0.32804638	0.71502336	0.50991406
227	0.08083780	0.32662702	0.71599663	0.51130997
228	0.08028803	0.32521965	0.71696452	0.51270040
229	0.07974306	0.32382273	0.71792683	0.51408556
230	0.07920282	0.32243372	0.71888353	0.51546554
231	0.07866727	0.32105105	0.71983475	0.51684033
232	0.07813634	0.31967537	0.72078072	0.51820981
233	0.07760999	0.31830863	0.72172174	0.51957384
234	0.07708816	0.31695244	0.72265808	0.52093232
235	0.07657081	0.31560711	0.72358989	0.52228518
236	0.07605788	0.31427216	0.72451720	0.52363248
237	0.07554932	0.31294725	0.72543996	0.52497431
238	0.07504509	0.31163232	0.72635800	0.52631084
239	0.07454514	0.31032707	0.72727119	0.52764223
240	0.07404941	0.30903059	0.72817945	0.52896860
241	0.07355787	0.30774174	0.72908276	0.53029000
242	0.07307045	0.30645993	0.72998123	0.53160643
243	0.07258713	0.30518551	0.73087501	0.53291783
244	0.07210786	0.30391931	0.73176430	0.53422413
245	0.07163258	0.30266202	0.73264924	0.53552530
246	0.07116126	0.30141380	0.73352993	0.53682130
247	0.07069386	0.30017450	0.73440639	0.53811219
248	0.07023033	0.29894396	0.73527859	0.53939805
249	0.06977063	0.29772199	0.73614645	0.54067898
250	0.06931472	0.29650825	0.73700990	0.54195508
251	0.06886256	0.29530218	0.73786890	0.54322641
252	0.06841410	0.29410326	0.73872350	0.54449303
253	0.06796931	0.29291130	0.73957375	0.54575492
254	0.06752815	0.29172649	0.74041977	0.54701206
255	0.06709059	0.29054921	0.74126169	0.54826443
256	0.06665657	0.28937972	0.74209958	0.54951200
257	0.06622608	0.28821809	0.74293352	0.55075480
258	0.06579906	0.28706424	0.74376350	0.55199286
259	0.06537548	0.28591804	0.74458952	0.55322624
260	0.06495532	0.28477931	0.74541153	0.55445501
261	0.06453852	0.28364777	0.74622952	0.55567924
262	0.06412506	0.28252310	0.74704348	0.55689898
263	0.06371490	0.28140506	0.74785345	0.55811423
264	0.06330801	0.28029361	0.74865948	0.55932502
265	0.06290436	0.27918884	0.74946167	0.56053133
266	0.06250390	0.27809090	0.75026008	0.56173315
267	0.06210662	0.27699990	0.75105478	0.56293049
268	0.06171247	0.27591584	0.75184579	0.56412338
269	0.06132142	0.27483865	0.75263312	0.56531185
270	0.06093345	0.27376820	0.75341677	0.56649595
271	0.06054852	0.27270435	0.75419673	0.56767573
272	0.06016660	0.27164691	0.75497299	0.56885123
273	0.05978767	0.27059569	0.75574558	0.57002247
274	0.05941168	0.26955058	0.75651453	0.57118948
275	0.05903862	0.26851158	0.75727990	0.57235227
276	0.05866845	0.26747874	0.75804173	0.57351084
277	0.05830114	0.26645209	0.75880007	0.57466519
278	0.05793667	0.26543166	0.75955497	0.57581534
279	0.05757501	0.26441742	0.76030644	0.57696132
280	0.05721613	0.26340930	0.76105450	0.57810315
281	0.05686000	0.26240720	0.76179914	0.57924089
282	0.05650660	0.26141100	0.76254038	0.58037455
283	0.05615589	0.26042056	0.76327821	0.58150418
284	0.05580787	0.25943580	0.76401268	0.58262979
285	0.05546248	0.25845667	0.76474380	0.58375140
286	0.05511972	0.25748314	0.76547163	0.58486901
287	0.05477956	0.25651524	0.76619619	0.58598264
288	0.05444197	0.25555297	0.76691753	0.58709231
289	0.05410692	0.25459630	0.76763567	0.58819803
290	0.05377440	0.25364520	0.76835062	0.58929983
291	0.05344438	0.25269959	0.76906240	0.59039773
292	0.05311683	0.25175940	0.76977101	0.59149177
293	0.05279173	0.25082453	0.77047647	0.59258196
294	0.05246906	0.24989490	0.77117879	0.59366835
295	0.05214879	0.24897047	0.77187801	0.59475093
296	0.05183091	0.24805119	0.77257414	0.59582972
297	0.05151538	0.24713705	0.77326722	0.59690475
298	0.05120220	0.24622805	0.77395729	0.59797602
299	0.05089133	0.24532416	0.77464435	0.59904354
300	0.05058275	0.24442535	0.77532844	0.60010735
301	0.05027645	0.24353157	0.77600956	0.60116746
302	0.04997240	0.24264276	0.77668773	0.60222390
303	0.04967058	0.24175885	0.77736296	0.60327669
